192.168.88.200:24562,3.124.97.151:32100,udp,452,208,660,2024-10-29 18:42:27
192.168.88.200:30038,45.180.148.78:30051,udp,6440,0,6440,2024-10-29 18:42:27
192.168.88.200:30038,10.220.116.118:30051,udp,6440,0,6440,2024-10-29 18:42:27
45.180.148.78:63155,82.146.184.218:30038,udp,3318,0,3318,2024-10-29 18:42:27
192.168.88.200:62413,157.240.243.14:443,udp,24836,170473,195309,2024-10-29 18:42:27
192.168.88.200:30038,189.34.198.66:5519,udp,2760,0,2760,2024-10-29 18:42:27
189.34.198.66:5519,82.146.184.218:30038,udp,2700,0,2700,2024-10-29 18:42:27
45.164.80.74:43472,82.146.184.218:30038,udp,2370,0,2370,2024-10-29 18:42:27
192.168.88.200:30038,45.164.80.74:30528,udp,4600,0,4600,2024-10-29 18:42:27
192.168.88.200:30038,192.168.0.8:30359,udp,2760,0,2760,2024-10-29 18:42:27
192.168.88.200:30038,192.168.20.147:30528,udp,4600,0,4600,2024-10-29 18:42:27
192.168.88.200:30038,192.168.2.203:30368,udp,3680,0,3680,2024-10-29 18:42:27
192.168.88.200:30038,192.168.15.6:30823,udp,3680,0,3680,2024-10-29 18:42:27
192.168.88.200:30038,177.102.104.183:1028,udp,3680,0,3680,2024-10-29 18:42:27
192.168.88.200:30038,201.94.146.190:30368,udp,3680,0,3680,2024-10-29 18:42:27
177.102.104.183:30823,82.146.184.218:30038,udp,2160,0,2160,2024-10-29 18:42:27
201.94.146.190:6015,82.146.184.218:30038,udp,1896,0,1896,2024-10-29 18:42:27
192.168.88.200:59521,157.240.27.18:443,udp,43892,15600,59492,2024-10-29 18:42:27
202.55.82.122,82.146.184.218,icmp,840,840,1680,2024-10-29 18:42:27
118.193.83.2,82.146.184.218,icmp,840,840,1680,2024-10-29 18:42:27
192.168.88.200:45064,157.240.27.18:443,udp,9298,7941,17239,2024-10-29 18:42:27
192.168.88.200:62387,157.240.27.142:443,udp,9824,0,9824,2024-10-29 18:42:27
181.191.214.32:59379,82.146.184.218:30038,udp,1080,0,1080,2024-10-29 18:42:27
192.168.88.200:30038,181.191.214.32:58686,udp,1840,0,1840,2024-10-29 18:42:27
192.168.88.200:63228,71.18.255.146:443,tcp,5626,1956,7582,2024-10-29 18:42:27
192.168.88.200:49608,71.18.74.198:443,udp,6304,3050,9354,2024-10-29 18:42:27
192.168.88.200:49588,194.126.16.38:53,udp,90,144,234,2024-10-29 18:42:27
192.168.88.200:43803,194.126.16.38:53,udp,77,342,419,2024-10-29 18:42:27
192.168.88.200:54896,194.126.16.38:53,udp,77,131,208,2024-10-29 18:42:27
192.168.88.200:22531,194.126.16.38:53,udp,78,202,280,2024-10-29 18:42:27
192.168.88.200:44702,194.126.16.38:53,udp,77,259,336,2024-10-29 18:42:27
